Object,Actor(s),Type,Count,HWInstances,Inst Sections,Tris,Sum Tris,Size,VC,Inst VC,Avg LM,Avg OL,Sum Avg,Cost,LM,Res,Min R,Max R,Avg R,
BluestonewallGate_frame4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
BluestonewallGate_frame6_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
BluestonewallGate_frame3_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
BluestonewallGate_frame3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
BluestonewallGate_frame2_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
BluestonewallGate_frame2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
BluestonewallGate_frame1,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,12,12,13.754,0,0,0,0,0,0,0,64,109.145,109.145,109.145,
door,(HouseDoor_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Door_BP_8"'),StaticMesh,1,1,1,12,12,13.535,0,0,0,3,0,0,0,64,135.301,135.301,135.301,
BluestonewallGate_cap_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,6,6,13.232,0,0,0,0,0,0,0,64,51.211,51.211,51.211,
BluestonewallGate_cap,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,6,6,12.84,0,0,0,0,0,0,0,64,51.211,51.211,51.211,
Plane,(PuzzleCode_BP_C'"/Game/Levels/Game.Game:PersistentLevel.d_3"'),StaticMesh,1,1,1,2,2,10.334,0,0,0,3,0,0,0,64,70.711,70.711,70.711,
BluestonewallGate_Plane_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_1,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_1_2,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_1_3,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_1_4,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_1_6,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
BluestonewallGate_Plane_1_5,(Gate_BP_C'"/Game/Levels/Game.Game:PersistentLevel.Gate_BP_2"'),StaticMesh,1,1,1,8,8,9.162,0,0,0,0,0,0,0,64,15.15,15.15,15.15,
,,,149,164,242,731 586,768 308,45 384.266,0,0,0,0.379,0,0,738.514,79.571,1.905,1 638 400.25,12 802.032,
